key,value,date
Protective Service Occupations,0,10/1/12
Protective Service Occupations,0,11/1/12
Protective Service Occupations,0,12/1/12
Protective Service Occupations,0,1/1/13
Protective Service Occupations,0,2/1/13
Protective Service Occupations,0,3/1/13
Protective Service Occupations,0,4/1/13
Protective Service Occupations,0,5/1/13
Protective Service Occupations,0,6/1/13
Protective Service Occupations,0,7/1/13
Protective Service Occupations,0,8/1/13
Protective Service Occupations,0,9/1/13
Protective Service Occupations,0,10/1/13
Protective Service Occupations,0,11/1/13
Protective Service Occupations,0,12/1/13
Protective Service Occupations,0,1/1/14
Protective Service Occupations,0,2/1/14
Protective Service Occupations,0,3/1/14
Protective Service Occupations,0,4/1/14
Protective Service Occupations,0,5/1/14
Protective Service Occupations,0,6/1/14
Protective Service Occupations,0,7/1/14
Protective Service Occupations,0,8/1/14
Protective Service Occupations,0,9/1/14
Protective Service Occupations,0,10/1/14
Protective Service Occupations,0,11/1/14
Protective Service Occupations,0,12/1/14
Protective Service Occupations,0,1/1/15
Protective Service Occupations,0,2/1/15
Protective Service Occupations,0,3/1/15
Protective Service Occupations,0,4/1/15
Protective Service Occupations,0,5/1/15
Protective Service Occupations,0,6/1/15
Protective Service Occupations,0,7/1/15
Protective Service Occupations,1,8/1/15
Protective Service Occupations,0,9/1/15
Protective Service Occupations,0,10/1/15
Protective Service Occupations,0,11/1/15
Protective Service Occupations,0,12/1/15
Protective Service Occupations,0,1/1/16
Protective Service Occupations,0,2/1/16
Protective Service Occupations,0,3/1/16
Protective Service Occupations,0,4/1/16
Protective Service Occupations,0,5/1/16
Protective Service Occupations,1,6/1/16
Protective Service Occupations,2,7/1/16
Protective Service Occupations,2,8/1/16
Protective Service Occupations,1,9/1/16
Protective Service Occupations,0,10/1/16
Protective Service Occupations,1,11/1/16
Protective Service Occupations,0,12/1/16
Transportation and Material Moving Occupations,0,1/1/11
Transportation and Material Moving Occupations,0,2/1/11
Transportation and Material Moving Occupations,0,3/1/11
Transportation and Material Moving Occupations,0,4/1/11
Transportation and Material Moving Occupations,0,5/1/11
Transportation and Material Moving Occupations,0,6/1/11
Transportation and Material Moving Occupations,0,7/1/11
Transportation and Material Moving Occupations,0,8/1/11
Transportation and Material Moving Occupations,0,9/1/11
Transportation and Material Moving Occupations,0,10/1/11
Transportation and Material Moving Occupations,2,11/1/11
Transportation and Material Moving Occupations,2,12/1/11
Transportation and Material Moving Occupations,9,1/1/12
Transportation and Material Moving Occupations,1,2/1/12
Transportation and Material Moving Occupations,2,3/1/12
Transportation and Material Moving Occupations,0,4/1/12
Transportation and Material Moving Occupations,0,5/1/12
Transportation and Material Moving Occupations,0,6/1/12
Transportation and Material Moving Occupations,0,7/1/12
Transportation and Material Moving Occupations,0,8/1/12
Transportation and Material Moving Occupations,0,9/1/12
Transportation and Material Moving Occupations,0,10/1/12
Transportation and Material Moving Occupations,0,11/1/12
Transportation and Material Moving Occupations,0,12/1/12
Transportation and Material Moving Occupations,0,1/1/13
Transportation and Material Moving Occupations,0,2/1/13
Transportation and Material Moving Occupations,0,3/1/13
Transportation and Material Moving Occupations,0,4/1/13
Transportation and Material Moving Occupations,0,5/1/13
Transportation and Material Moving Occupations,1,6/1/13
Transportation and Material Moving Occupations,0,7/1/13
Transportation and Material Moving Occupations,1,8/1/13
Transportation and Material Moving Occupations,1,9/1/13
Transportation and Material Moving Occupations,0,10/1/13
Transportation and Material Moving Occupations,0,11/1/13
Transportation and Material Moving Occupations,0,12/1/13
Transportation and Material Moving Occupations,0,1/1/14
Transportation and Material Moving Occupations,0,2/1/14
Transportation and Material Moving Occupations,0,3/1/14
Transportation and Material Moving Occupations,2,4/1/14
Transportation and Material Moving Occupations,1,5/1/14
Transportation and Material Moving Occupations,0,6/1/14
Transportation and Material Moving Occupations,1,7/1/14
Transportation and Material Moving Occupations,1,8/1/14
Transportation and Material Moving Occupations,0,9/1/14
Transportation and Material Moving Occupations,0,10/1/14
Transportation and Material Moving Occupations,0,11/1/14
Transportation and Material Moving Occupations,0,12/1/14
Transportation and Material Moving Occupations,0,1/1/15
Transportation and Material Moving Occupations,0,2/1/15
Transportation and Material Moving Occupations,0,3/1/15
Transportation and Material Moving Occupations,4,4/1/15
Transportation and Material Moving Occupations,4,5/1/15
Transportation and Material Moving Occupations,5,6/1/15
Transportation and Material Moving Occupations,5,7/1/15
Transportation and Material Moving Occupations,6,8/1/15
Transportation and Material Moving Occupations,5,9/1/15
Transportation and Material Moving Occupations,0,10/1/15
Transportation and Material Moving Occupations,0,11/1/15
Transportation and Material Moving Occupations,0,12/1/15
Transportation and Material Moving Occupations,0,1/1/16
Transportation and Material Moving Occupations,0,2/1/16
Transportation and Material Moving Occupations,0,3/1/16
Transportation and Material Moving Occupations,27,4/1/16
Transportation and Material Moving Occupations,27,5/1/16
Transportation and Material Moving Occupations,65,6/1/16
Transportation and Material Moving Occupations,75,7/1/16
Transportation and Material Moving Occupations,27,8/1/16
Transportation and Material Moving Occupations,58,9/1/16
Transportation and Material Moving Occupations,21,10/1/16
Transportation and Material Moving Occupations,42,11/1/16
Transportation and Material Moving Occupations,24,12/1/16
Construction and Extraction Occupations,0,1/1/11
Construction and Extraction Occupations,0,2/1/11
Construction and Extraction Occupations,0,3/1/11
Construction and Extraction Occupations,0,4/1/11
Construction and Extraction Occupations,0,5/1/11
Construction and Extraction Occupations,0,6/1/11
Construction and Extraction Occupations,0,7/1/11
Construction and Extraction Occupations,0,8/1/11
Construction and Extraction Occupations,0,9/1/11
Construction and Extraction Occupations,0,10/1/11
Construction and Extraction Occupations,3,11/1/11
Construction and Extraction Occupations,5,12/1/11
Construction and Extraction Occupations,3,1/1/12
Construction and Extraction Occupations,3,2/1/12
Construction and Extraction Occupations,1,3/1/12
Construction and Extraction Occupations,0,4/1/12
Construction and Extraction Occupations,0,5/1/12
Construction and Extraction Occupations,0,6/1/12
Construction and Extraction Occupations,0,7/1/12
Construction and Extraction Occupations,0,8/1/12
Construction and Extraction Occupations,0,9/1/12
Construction and Extraction Occupations,0,10/1/12
Construction and Extraction Occupations,0,11/1/12
Construction and Extraction Occupations,0,12/1/12
Construction and Extraction Occupations,0,1/1/13
Construction and Extraction Occupations,0,2/1/13
Construction and Extraction Occupations,0,3/1/13
Construction and Extraction Occupations,2,4/1/13
Construction and Extraction Occupations,5,5/1/13
Construction and Extraction Occupations,3,6/1/13
Construction and Extraction Occupations,2,7/1/13
Construction and Extraction Occupations,3,8/1/13
Construction and Extraction Occupations,4,9/1/13
Construction and Extraction Occupations,0,10/1/13
Construction and Extraction Occupations,0,11/1/13
Construction and Extraction Occupations,0,12/1/13
Construction and Extraction Occupations,0,1/1/14
Construction and Extraction Occupations,0,2/1/14
Construction and Extraction Occupations,0,3/1/14
Construction and Extraction Occupations,9,4/1/14
Construction and Extraction Occupations,11,5/1/14
Construction and Extraction Occupations,4,6/1/14
Construction and Extraction Occupations,4,7/1/14
Construction and Extraction Occupations,5,8/1/14
Construction and Extraction Occupations,7,9/1/14
Construction and Extraction Occupations,0,10/1/14
Construction and Extraction Occupations,0,11/1/14
Construction and Extraction Occupations,0,12/1/14
Construction and Extraction Occupations,0,1/1/15
Construction and Extraction Occupations,0,2/1/15
Construction and Extraction Occupations,0,3/1/15
